[12.06.2026 19:14:31] ✅ CREATE_PUBLICATION | User: SYSTEM | Создано: Война и Мир
[12.06.2026 19:14:31] ✅ CREATE_PUBLICATION | User: SYSTEM | Создано: Vogue
[12.06.2026 19:14:31] ✅ CREATE_USER | User: 1 | Иван Иванов
[12.06.2026 19:14:31] ✅ CREATE_USER | User: 2 | Петр Петров
[13.06.2026 12:54:12] ✅ CREATE_PUBLICATION | User: SYSTEM | Создано: Война и Мир
[13.06.2026 12:54:12] ✅ CREATE_PUBLICATION | User: SYSTEM | Создано: Vogue
[13.06.2026 12:54:12] ✅ CREATE_USER | User: 1 | Иван Иванов
[13.06.2026 12:54:12] ✅ CREATE_USER | User: 2 | Петр Петров
[13.06.2026 12:56:12] ✅ BORROW_PUBLICATION | User: 1 | ID=1
[13.06.2026 12:56:23] ✅ RETURN_PUBLICATION | User: SYSTEM | ID=1
[13.06.2026 12:56:37] ✅ TEST_OVERDUE | User: 1 | ID=1
[13.06.2026 12:57:22] ✅ CREATE_PUBLICATION | User: SYSTEM | Создано: лайно
[13.06.2026 12:57:47] ✅ CREATE_USER | User: 3 | Пользак
[13.06.2026 12:57:58] ✅ DELETE_PUBLICATION | User: SYSTEM | ID=2
[13.06.2026 12:58:11] ✅ DELETE_USER | User: SYSTEM | ID=2
